"rec_id","continent_fk","country_fk","processing_method","harvest_year","expiration_date"
879,"Africa","Tanzania","Washed - Wet","2013","2015-12-15"
880,"South America","Brazil","Washed - Wet","2014","2015-10-16"
881,"Asia","Indonesia","Semi-washed - Semi-pulped","2013","2015-05-23"
882,"North America","Honduras","Natural - Dry","2014","2015-05-16"
883,"North America","Costa Rica","Washed - Wet","2013","2015-04-26"
884,"North America","Mexico","Washed - Wet","2014","2015-04-02"
885,"Asia","Taiwan","Semi-washed - Semi-pulped","2013","2014-12-26"
886,"Asia","Taiwan","Washed - Wet","2013","2014-12-26"
887,"North America","Mexico","Washed - Wet","2013","2014-03-29"
888,"North America","Guatemala","Washed - Wet","2012","2013-10-05"
889,"North America","Mexico","Washed - Wet","2012","2013-09-11"
890,"North America","Mexico","Washed - Wet","2012","2013-08-30"
891,"North America","Mexico","Washed - Wet","2012","2013-07-27"
892,"North America","Mexico","Washed - Wet","2012","2013-04-02"
893,"North America","Mexico","Semi-washed - Semi-pulped","2012","2013-02-28"
894,"North America","United States","Washed - Wet","2012","2013-02-07"
895,"North America","Honduras","Washed - Wet","2018","2019-01-19"
896,"North America","Guatemala","Washed - Wet","2017","2018-06-01"
897,"Asia","Taiwan","Washed - Wet","2016","2017-07-15"
898,"North America","Costa Rica","Washed - Wet","2015","2016-02-03"
899,"Africa","Tanzania","Washed - Wet","2014","2015-12-18"
900,"Africa","Malawi","Washed - Wet","2014","2015-10-31"
901,"Asia","Taiwan","Semi-washed - Semi-pulped","2014","2015-08-25"
902,"South America","Brazil","Washed - Wet","2013","2014-11-06"
903,"North America","Guatemala","Washed - Wet","2013","2014-07-16"
904,"North America","Mexico","Washed - Wet","2013","2014-03-29"
905,"North America","Mexico","Natural - Dry","2012","2013-06-06"
906,"North America","Mexico","Natural - Dry","2012","2013-06-06"
907,"Asia","Thailand",NULL,"2011","2012-11-15"
908,"Asia","Thailand",NULL,"2011","2012-08-15"
909,"North America","Costa Rica",NULL,NULL,"2012-06-13"
910,"North America","Guatemala","Washed - Wet","2017","2018-08-23"
911,"North America","Nicaragua","Other","2017","2018-06-20"
912,"North America","Honduras","Washed - Wet","2017","2018-06-03"
913,"North America","Guatemala",NULL,"2017","2018-06-01"
914,"Asia","Taiwan","Natural - Dry","2015","2016-09-16"
915,"Asia","Myanmar","Washed - Wet","2015","2016-07-16"
916,"North America","Costa Rica","Washed - Wet","2014","2016-01-07"
917,"Africa","Malawi","Washed - Wet","2014","2015-11-04"
918,"North America","Guatemala","Washed - Wet","2014","2015-09-23"
919,"Asia","Taiwan","Washed - Wet","2014","2015-08-18"
920,"South America","Brazil","Semi-washed - Semi-pulped","2014","2015-07-29"
921,"North America","Haiti","Washed - Wet","2013","2015-05-05"
922,"Asia","Taiwan","Other","2013","2014-12-26"
923,"North America","Mexico","Washed - Wet","2013","2014-03-11"
924,"North America","Mexico","Washed - Wet","2012","2013-08-30"
925,"North America","Mexico","Washed - Wet","2012","2013-08-29"
926,"North America","Mexico","Semi-washed - Semi-pulped","2012","2013-08-01"
927,"North America","Mexico","Washed - Wet","2012","2013-07-26"
928,"North America","Mexico","Natural - Dry","2012","2013-07-26"
929,"Asia","Indonesia","Washed - Wet","2012","2013-05-24"
930,"South America","Brazil","Semi-washed - Semi-pulped","2012","2013-04-12"
931,"North America","Guatemala","Washed - Wet","2012","2013-01-24"
932,"South America","Colombia",NULL,NULL,"2012-09-06"
933,"North America","United States",NULL,NULL,"2011-06-29"
934,"North America","Mexico","Washed - Wet","2017","2018-05-12"
935,"North America","Guatemala","Washed - Wet","2016","2017-03-17"
936,"South America","Brazil","Natural - Dry","2015","2016-12-02"
937,"North America","Honduras","Washed - Wet","2015","2016-05-11"
938,"Asia","Taiwan","Washed - Wet","2014","2015-11-23"
939,"Africa","Malawi","Washed - Wet","2014","2015-11-04"
940,"South America","Brazil","Natural - Dry","2014","2015-10-17"
941,"North America","Guatemala","Washed - Wet","2014","2015-05-26"
942,"North America","Mexico","Washed - Wet","2014","2015-05-01"
943,"South America","Peru","Washed - Wet","2013","2015-02-27"
944,"North America","Guatemala","Washed - Wet","2013","2014-10-07"
945,"North America","Mexico","Washed - Wet","2012","2013-09-27"
946,"North America","Mexico","Washed - Wet","2012","2013-06-06"
947,"South America","Colombia","Natural - Dry","2011","2012-11-10"
948,"South America","Colombia",NULL,"2010","2012-02-22"
949,"North America","United States",NULL,NULL,"2011-05-24"
950,"South America","Colombia","Washed - Wet","2016","2017-11-08"
951,"North America","Honduras","Washed - Wet","2016","2017-06-09"
952,"North America","Mexico",NULL,"2016","2017-02-24"
953,"South America","Brazil","Natural - Dry","2015","2016-11-19"
954,"North America","Honduras","Washed - Wet","2015","2016-05-21"
955,"South America","Brazil","Other","2014","2015-12-16"
956,"Asia","Philippines","Washed - Wet","2014","2015-11-13"
957,"Africa","Malawi","Washed - Wet","2014","2015-11-04"
958,"North America","Honduras","Washed - Wet","2014","2015-01-22"
959,"North America","Mexico","Washed - Wet","2012","2013-08-30"
960,"North America","Mexico","Washed - Wet","2012","2013-07-11"
961,"South America","Brazil","Natural - Dry",NULL,"2018-11-15"
962,"Asia","Taiwan","Natural - Dry","2015","2017-05-18"
963,"South America","Brazil","Natural - Dry","2015","2016-10-07"
964,"North America","Nicaragua","Washed - Wet","2015","2016-07-05"
965,"North America","Honduras","Washed - Wet","2015","2016-05-11"
966,"North America","Guatemala","Washed - Wet","2014","2016-03-20"
967,"Africa","Tanzania","Washed - Wet","2014","2015-12-17"
968,"Asia","Taiwan","Semi-washed - Semi-pulped","2013","2014-12-26"
969,"North America","Guatemala","Washed - Wet","2013","2014-03-04"
970,"North America","Mexico","Washed - Wet","2012","2013-07-26"
971,"North America","Nicaragua","Washed - Wet","2016","2018-03-08"
972,"Africa","Tanzania","Washed - Wet","2015","2016-11-15"
973,"North America","Mexico","Washed - Wet","2015","2016-06-24"
974,"North America","Costa Rica","Washed - Wet","2015","2016-05-21"
975,"North America","Honduras","Natural - Dry","2015","2016-03-10"
976,"Asia","Thailand","Washed - Wet","2014","2016-02-15"
977,"Asia","Philippines","Natural - Dry","2014","2016-01-08"
978,"Africa","Tanzania","Washed - Wet","2014","2015-12-17"
979,"Africa","Malawi","Washed - Wet","2014","2015-11-04"
980,"North America","Costa Rica","Washed - Wet","2014","2015-05-09"
981,"South America","Brazil","Natural - Dry","2013","2015-02-04"
982,"North America","Mexico","Natural - Dry","2012","2013-08-30"
983,"North America","Guatemala","Washed - Wet","2012","2013-08-20"
984,"South America","Brazil","Natural - Dry","2012","2013-01-22"
985,"North America","United States",NULL,NULL,"2012-09-21"
986,"Africa","Ethiopia","Natural - Dry","2016","2018-07-14"
987,"South America","Brazil","Natural - Dry","2016","2018-06-21"
988,"North America","Nicaragua","Washed - Wet","2015","2016-03-27"
989,"North America","United States","Natural - Dry","2014","2016-03-03"
990,"Africa","Tanzania","Washed - Wet","2014","2016-01-02"
991,"North America","Costa Rica","Washed - Wet","2014","2015-12-18"
992,"North America","United States","Washed - Wet","2013","2015-05-28"
993,"North America","Mexico","Washed - Wet","2012","2013-09-14"
994,"North America","Mexico","Washed - Wet","2012","2013-09-04"
995,"North America","Mexico","Washed - Wet","2012","2013-08-30"
996,"North America","Mexico","Washed - Wet","2012","2013-07-03"
997,"North America","United States","Washed - Wet","2012","2013-02-12"
998,"South America","Brazil","Pulped natural - honey",NULL,"2019-01-16"
999,"North America","El Salvador","Washed - Wet","2017","2018-08-28"
1000,"South America","Brazil","Pulped natural - honey","2016","2017-09-09"
1001,"North America","Guatemala","Washed - Wet","2016","2017-08-02"
1002,"South America","Colombia","Washed - Wet","2016","2017-07-22"
1003,"North America","Guatemala","Washed - Wet","2015","2016-07-22"
1004,"Asia","Taiwan","Washed - Wet","2015","2016-05-05"
1005,"North America","Honduras","Natural - Dry","2014","2016-01-26"
1006,"South America","Brazil","Natural - Dry","2014","2016-01-15"
1007,"Africa","Tanzania","Washed - Wet","2014","2015-12-15"
1008,"Africa","Uganda","Natural - Dry","2013","2015-06-30"
1009,"Asia","Taiwan","Semi-washed - Semi-pulped","2013","2014-12-26"
1010,"Asia","Thailand","Washed - Wet","2012","2014-05-29"
1011,"North America","Mexico","Washed - Wet","2012","2013-09-11"
1012,"North America","Mexico","Washed - Wet","2012","2013-07-03"
1013,"Asia","Taiwan","Washed - Wet","2017","2018-12-08"
1014,"North America","Guatemala","Washed - Wet","2017","2018-08-23"
1015,"Africa","Kenya","Washed - Wet","2017","2018-07-07"
1016,"North America","Mexico","Washed - Wet","2017","2018-05-12"
1017,"Asia","Myanmar","Other","2015","2016-07-16"
1018,"North America","United States","Natural - Dry","2014","2016-01-13"
1019,"Africa","Tanzania","Washed - Wet","2014","2015-12-18"
1020,"South America","Brazil","Natural - Dry","2014","2015-12-16"
1021,"Asia","Taiwan","Washed - Wet","2014","2015-11-23"
1022,"South America","Brazil","Natural - Dry","2014","2015-10-16"
1023,"North America","Nicaragua","Washed - Wet","2013","2015-07-16"
1024,"North America","Guatemala","Washed - Wet","2014","2015-06-10"
1025,"Asia","Taiwan","Washed - Wet","2013","2014-12-26"
1026,"Asia","Taiwan","Other","2013","2014-12-26"
1027,"Asia","Taiwan","Washed - Wet","2013","2014-12-26"
1028,"North America","Mexico","Washed - Wet","2012","2013-07-11"
1029,"Asia","Thailand",NULL,NULL,"2011-04-13"
1030,"Asia","Laos","Washed - Wet","2016","2018-06-22"
1031,"North America","Guatemala","Washed - Wet","2013","2015-05-26"
1032,"North America","Mexico","Semi-washed - Semi-pulped","2012","2013-08-30"
1033,"North America","Mexico","Washed - Wet","2012","2013-08-29"
1034,"North America","Mexico","Washed - Wet","2012","2013-07-03"
1035,"North America","United States","Washed - Wet","2012","2013-02-22"
1036,"South America","Colombia",NULL,"2010","2012-01-25"
1037,"South America","Brazil","Natural - Dry","2015","2016-10-07"
1038,"Asia","Myanmar","Washed - Wet","2015","2016-07-16"
1039,"North America","Guatemala","Washed - Wet","2015","2016-06-17"
1040,"North America","Nicaragua","Washed - Wet","2015","2016-05-27"
1041,"North America","Honduras","Natural - Dry","2015","2016-05-24"
1042,"North America","Panama","Other","2014","2016-05-22"
1043,"North America","Honduras","Washed - Wet","2015","2016-05-21"
1044,"North America","Honduras","Natural - Dry","2015","2016-03-10"
1045,"North America","Costa Rica","Washed - Wet","2014","2015-04-11"
1046,"North America","Mexico","Washed - Wet","2012","2013-09-04"
1047,"North America","Haiti","Washed - Wet","2012","2013-05-22"
1048,"North America","United States","Natural - Dry","2011","2012-12-20"
1049,"Asia","Taiwan","Other","2016","2017-08-12"
1050,"Asia","Indonesia","Semi-washed - Semi-pulped","2015","2016-11-09"
1051,"North America","Guatemala","Washed - Wet","2015","2016-10-22"
1052,"North America","Costa Rica","Washed - Wet","2015","2016-02-27"
1053,"Africa","Malawi","Washed - Wet","2014","2015-11-04"
1054,"North America","Mexico","Washed - Wet","2014","2015-10-23"
1055,"South America","Colombia","Natural - Dry","2014","2015-04-14"
1056,"North America","Guatemala","Washed - Wet","2013","2014-06-05"
1057,"North America","Guatemala","Washed - Wet","2012","2013-01-24"
1058,"North America","Guatemala","Washed - Wet","2012","2013-01-24"
1059,"South America","Colombia",NULL,NULL,"2012-03-14"
1060,"South America","Brazil",NULL,"2016","2017-03-11"
1061,"North America","Nicaragua",NULL,"2016","2017-02-25"
1062,"Africa","Tanzania","Washed - Wet","2014","2016-01-06"
1063,"South America","Brazil","Semi-washed - Semi-pulped","2014","2015-10-17"
1064,"North America","Honduras","Washed - Wet","2014","2015-04-30"
1065,"North America","Guatemala","Natural - Dry","2014","2015-01-28"
1066,"North America","United States",NULL,NULL,"2012-05-03"
